energy [eV]	total (gross)	total (net)	0 (gross)	0 (net)	1 (gross)	1 (net)	2 (gross)	2 (net)	3 (gross)	3 (net)	4 (gross)	4 (net)	5 (gross)	5 (net)	6 (gross)	6 (net)	7 (gross)	7 (net)	8 (gross)	8 (net)	9 (gross)	9 (net)	10 (gross)	10 (net)	11 (gross)	11 (net)	12 (gross)	12 (net)	13 (gross)	13 (net)	14 (gross)	14 (net)	15 (gross)	15 (net)	16 (gross)	16 (net)
2,342.00	0.5531	0.5531	1.426	1.426	1.705	1.705	1.344	1.344	1.021	1.021	0.7951	0.7951	0.6431	0.6431	0.5223	0.5223	0.4659	0.4659	0.3424	0.3424	0.2676	0.2676	0.2049	0.2049	0.1513	0.1513	0.1381	0.1381	0.1148	0.1148	0.1184	0.1184	0.07908	0.07908	0.06401	0.06401
2,344.00	0.5561	0.5561	1.458	1.458	1.730	1.730	1.355	1.355	1.035	1.035	0.7862	0.7862	0.6364	0.6364	0.5083	0.5083	0.4755	0.4755	0.3516	0.3516	0.2608	0.2608	0.2054	0.2054	0.1536	0.1536	0.1357	0.1357	0.1126	0.1126	0.1161	0.1161	0.07690	0.07690	0.05739	0.05739
2,346.00	0.5593	0.5593	1.485	1.485	1.750	1.750	1.371	1.371	1.041	1.041	0.7801	0.7801	0.6316	0.6316	0.4971	0.4971	0.4832	0.4832	0.3614	0.3614	0.2606	0.2606	0.2056	0.2056	0.1558	0.1558	0.1345	0.1345	0.1107	0.1107	0.1121	0.1121	0.07445	0.07445	0.05424	0.05424
2,348.00	0.5637	0.5637	1.504	1.504	1.766	1.766	1.395	1.395	1.044	1.044	0.7803	0.7803	0.6324	0.6324	0.4952	0.4952	0.4860	0.4860	0.3674	0.3674	0.2677	0.2677	0.2067	0.2067	0.1577	0.1577	0.1354	0.1354	0.1097	0.1097	0.1080	0.1080	0.07166	0.07166	0.05605	0.05605
2,350.00	0.5699	0.5699	1.516	1.516	1.777	1.777	1.424	1.424	1.050	1.050	0.7879	0.7879	0.6412	0.6412	0.5056	0.5056	0.4834	0.4834	0.3684	0.3684	0.2799	0.2799	0.2092	0.2092	0.1601	0.1601	0.1386	0.1386	0.1094	0.1094	0.1047	0.1047	0.06926	0.06926	0.06259	0.06259
2,352.00	0.5776	0.5776	1.524	1.524	1.788	1.788	1.456	1.456	1.057	1.057	0.8006	0.8006	0.6575	0.6575	0.5266	0.5266	0.4779	0.4779	0.3673	0.3673	0.2924	0.2924	0.2134	0.2134	0.1639	0.1639	0.1423	0.1423	0.1094	0.1094	0.1018	0.1018	0.06890	0.06890	0.07158	0.07158
2,354.00	0.5859	0.5859	1.534	1.534	1.800	1.800	1.481	1.481	1.065	1.065	0.8157	0.8157	0.6782	0.6782	0.5532	0.5532	0.4723	0.4723	0.3691	0.3691	0.2997	0.2997	0.2184	0.2184	0.1701	0.1701	0.1442	0.1442	0.1093	0.1093	0.09845	0.09845	0.07203	0.07203	0.08023	0.08023
2,356.00	0.5937	0.5937	1.545	1.545	1.812	1.812	1.496	1.496	1.075	1.075	0.8290	0.8290	0.6988	0.6988	0.5796	0.5796	0.4670	0.4670	0.3774	0.3774	0.2996	0.2996	0.2213	0.2213	0.1783	0.1783	0.1438	0.1438	0.1092	0.1092	0.09525	0.09525	0.07870	0.07870	0.08608	0.08608
2,358.00	0.5996	0.5996	1.559	1.559	1.823	1.823	1.502	1.502	1.086	1.086	0.8368	0.8368	0.7154	0.7154	0.5996	0.5996	0.4615	0.4615	0.3914	0.3914	0.2928	0.2928	0.2195	0.2195	0.1879	0.1879	0.1422	0.1422	0.1090	0.1090	0.09348	0.09348	0.08728	0.08728	0.08748	0.08748
2,360.00	0.6037	0.6037	1.575	1.575	1.832	1.832	1.503	1.503	1.099	1.099	0.8390	0.8390	0.7272	0.7272	0.6095	0.6095	0.4556	0.4556	0.4062	0.4062	0.2827	0.2827	0.2132	0.2132	0.1979	0.1979	0.1400	0.1400	0.1086	0.1086	0.09393	0.09393	0.09517	0.09517	0.08485	0.08485
